,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
12001,1,,391.68722306,1,5,108.0,55.805746,http://www.cian.ru/rent/flat/150343464/,40.0,37.514643,5,1,26,160000.0,160000.0,евроремонт,4,,Сокол,0,150.0,1
12002,1,1,630.162147859,6,6,18.0,55.673697,http://www.cian.ru/rent/flat/151453602/,,37.538062,15,1,9,33000.0,33000.0,косметический,1,Ломоносовский,Новые Черемушки,0,30.0,1
12003,1,1,270.507154847,0,5,42.0,55.720869,http://www.cian.ru/rent/flat/151617316/,12.0,37.620779,8,,9,65000.0,65000.0,евроремонт,2,Замоскворечье,Добрынинская,0,72.0,1
12004,1,0,580.5367902,2,8,20.0,55.829537,http://www.cian.ru/rent/flat/151591876/,,37.593938,20,1,14,35000.0,35000.0,евроремонт,1,Марфино,Владыкино,0,36.0,1
12005,1,1,538.118638401,3,9,20.0,55.824208,http://www.cian.ru/rent/flat/151536810/,10.0,37.756524,20,1,9,30000.0,30000.0,евроремонт,1,Метрогородок,Бульвар Рокоссовского,0,38.0,1
12006,0,0,847.060745726,1,5,19.0,55.862833,http://www.cian.ru/rent/flat/151603237/,,37.572495,,1,9,20000.0,20000.0,косметический,1,Восточное Дегунино,,0,35.0,
12007,1,0,780.256298171,2,5,80.0,55.854517,http://www.cian.ru/rent/flat/147971203/,12.0,37.68306,27,1,14,80000.0,80000.0,косметический,4,Ярославский,Свиблово,0,140.0,1
12008,1,1,395.16752424,8,13,124.0,55.806186,http://www.cian.ru/rent/flat/142065341/,15.0,37.424902,3,,39,200000.0,200000.0,дизайнерский,4,Строгино,Строгино,0,220.0,0
12009,1,,1716.38913985,9,15,18.0,55.525461,http://www.cian.ru/rent/flat/151471642/,14.0,37.509837,17,1,17,33000.0,33000.0,косметический,1,,Бунинская аллея,0,45.0,1
12010,1,1,88.9783251224,0,9,71.0,55.767241,http://www.cian.ru/rent/flat/149834511/,,37.566297,7,,12,150000.0,150000.0,дизайнерский,4,Пресненский,Улица 1905 года,0,100.0,1
12011,0,1,888.976893853,1,1,19.0,55.868041,http://www.cian.ru/rent/flat/151434522/,10.0,37.49109,,,12,28000.0,28000.0,косметический,1,Ховрино,,0,39.0,
12012,1,1,110.648151699,3,12,32.0,55.741581,http://www.cian.ru/rent/flat/151554240/,10.0,37.760387,8,1,12,33000.0,33000.0,косметический,2,Перово,Шоссе Энтузиастов,0,47.0,0
12013,1,1,385.400146124,3,4,28.0,55.804951,http://www.cian.ru/rent/flat/151393045/,,37.719819,12,1,5,40000.0,40000.0,евроремонт,2,Преображенское,Преображенская площадь,0,45.0,1
12014,0,0,740.501988406,8,10,19.0,55.849559,http://www.cian.ru/rent/flat/149918539/,,37.352767,4,1,11,26000.0,26000.0,косметический,1,Митино,Митино,0,39.0,1
12015,1,0,328.136787056,3,10,35.0,55.713365,http://www.cian.ru/rent/flat/151187594/,,37.88757,10,,12,38000.0,38000.0,,2,Косино-Ухтомский,Новокосино,0,53.0,0
12016,1,0,824.8991741,5,14,20.0,55.647798,http://www.cian.ru/rent/flat/151577795/,10.0,37.657844,14,,25,35000.0,35000.0,евроремонт,1,Москворечье-Сабурово,Каширская,0,40.0,1
12017,1,1,605.639033222,6,4,20.0,55.67694,http://www.cian.ru/rent/flat/151615442/,,37.54109,10,,9,41000.0,41000.0,косметический,1,Ломоносовский,Новые Черемушки,0,35.0,1
12018,0,1,134.423461256,0,2,,55.73851,http://www.cian.ru/rent/flat/151375059/,,37.625954,4,,6,210000.0,210000.0,евроремонт,2,Замоскворечье,Третьяковская,0,64.0,1
12019,1,1,511.751978989,5,2,19.0,55.689319,http://www.cian.ru/rent/flat/151605474/,,37.691908,15,1,5,32000.0,32000.0,косметический,1,Нагатинский Затон,Коломенская,0,32.0,0
12020,1,,67.741378849,0,23,148.0,55.747115,http://www.cian.ru/rent/flat/148918421/,10.0,37.539078,2,,73,700000.0,700000.0,дизайнерский,3,,Выставочная,0,184.0,1
12021,1,1,646.848803156,6,5,30.0,55.671488,http://www.cian.ru/rent/flat/151566478/,,37.599561,10,1,5,40000.0,40000.0,косметический,2,Котловка,Нагорная,0,53.0,1
12022,1,0,465.926928277,7,3,32.0,55.815119,http://www.cian.ru/rent/flat/150822932/,10.0,37.39894,15,,17,32000.0,32000.0,косметический,2,Строгино,Щукинская,0,42.0,1
12023,1,0,1015.25513763,2,6,20.0,55.883686,http://www.cian.ru/rent/flat/151524132/,,37.70885,10,1,9,30000.0,30000.0,косметический,1,Лосиноостровский,Бабушкинская,0,33.0,0
12024,0,1,259.268181826,3,8,28.0,55.78896,http://www.cian.ru/rent/flat/151388179/,,37.794675,12,1,8,26000.0,26000.0,отсутствует,2,Измайлово,Первомайская,0,36.0,1
12025,1,1,337.234706263,7,9,45.0,55.798854,http://www.cian.ru/rent/flat/151449430/,10.0,37.389814,12,1,25,60000.0,60000.0,отсутствует,2,Строгино,Строгино,0,60.0,1
12026,1,0,981.405254244,5,14,18.0,55.626787,http://www.cian.ru/rent/flat/151213866/,,37.656478,10,1,16,28000.0,28000.0,косметический,1,Царицыно,Кантемировская,0,34.0,1
12027,0,1,441.904329456,1,2,34.0,55.812089,http://www.cian.ru/rent/flat/150670585/,12.0,37.557026,20,1,6,40000.0,40000.0,косметический,2,Тимирязевский,Дмитровская,0,55.0,1
12028,1,0,933.679692306,2,9,20.0,55.873587,http://www.cian.ru/rent/flat/151410605/,11.0,37.672181,5,,16,30000.0,30000.0,,1,Бабушкинский,Бабушкинская,0,39.0,1
12029,1,1,1217.38594747,5,23,35.0,55.594753,http://www.cian.ru/rent/flat/151579123/,12.0,37.724544,20,,24,40000.0,40000.0,евроремонт,2,Орехово-Борисово Южное,Домодедовская,0,58.0,1
