,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
8001,1,0,858.966240484,7,12,18.0,55.864313,http://www.cian.ru/rent/flat/151377154/,10.0,37.659811,7,,16,31000.0,31000.0,косметический,1,Бабушкинский,Бабушкинская,0,39.0,1
8002,1,1,34.7479881859,0,9,104.0,55.760292,http://www.cian.ru/rent/flat/150876080/,20.0,37.589805,8,1,9,350000.0,350000.0,евроремонт,4,Пресненский,Баррикадная,0,200.0,1
8003,1,0,412.929697959,4,3,30.0,55.702287,http://www.cian.ru/rent/flat/151510280/,,37.781569,15,,5,32000.0,32000.0,косметический,2,Кузьминки,Кузьминки,0,45.0,1
8004,1,0,519.314664258,4,25,36.0,55.688324,http://www.cian.ru/rent/flat/151249640/,15.0,37.719702,9,1,25,47000.0,47000.0,косметический,2,Печатники,Печатники,0,71.0,1
8005,1,1,1088.39954598,8,3,33.0,55.892718,http://www.cian.ru/rent/flat/150984329/,10.0,37.400557,14,,19,53000.0,53000.0,,2,Куркино,Планерная,0,72.0,0
8006,1,0,157.910028766,8,7,23.0,55.776051,http://www.cian.ru/rent/flat/151511786/,7.5,37.45849,7,,9,32000.0,32000.0,косметический,2,Хорошёво-Мнёвники,Полежаевская,0,38.0,0
8007,1,1,785.457207353,6,2,30.0,55.653065,http://www.cian.ru/rent/flat/150059379/,,37.561392,20,,12,36000.0,36000.0,косметический,2,Черёмушки,Калужская,0,47.0,1
8008,0,1,591.739524503,1,1,30.0,55.830943,http://www.cian.ru/rent/flat/151605011/,,37.523842,8,1,5,40000.0,40000.0,косметический,2,Коптево,Войковская,0,43.0,0
8009,1,0,769.10533787,7,3,20.0,55.853127,http://www.cian.ru/rent/flat/151577890/,10.0,37.421003,5,,12,45000.0,45000.0,евроремонт,1,Северное Тушино,Сходненская,0,43.0,0
8010,1,1,318.867883093,7,11,80.0,55.796526,http://www.cian.ru/rent/flat/151566512/,40.0,37.486859,5,,12,130000.0,130000.0,,3,Щукино,Октябрьское поле,0,110.0,1
