,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
15001,1,1,290.653620257,7,27,106.0,55.718248,http://www.cian.ru/rent/flat/150972768/,,37.477175,4,,30,350000.0,350000.0,дизайнерский,5,Очаково-Матвеевское,Славянский бульвар,0,201.0,0
15002,1,0,903.785767189,7,2,39.0,55.63723,http://www.cian.ru/rent/flat/151449138/,,37.382142,,,5,45000.0,45000.0,косметический,3,Солнцево,,0,60.0,
15003,1,0,246.823970236,7,3,18.0,55.723947,http://www.cian.ru/rent/flat/151568522/,,37.477157,12,,5,27000.0,27000.0,косметический,1,Фили-Давыдково,Славянский бульвар,0,33.0,1
15004,1,0,761.183304151,7,6,18.0,55.656301,http://www.cian.ru/rent/flat/151586991/,,37.413089,10,,9,15000.0,15000.0,отсутствует,1,Солнцево,Юго-Западная,0,36.0,0
15005,1,0,909.721373024,7,7,20.0,55.636433,http://www.cian.ru/rent/flat/150941373/,,37.360888,10,,16,20000.0,20000.0,косметический,1,Ново-Переделкино,Юго-Западная,0,37.0,0
15006,1,0,909.721373024,7,7,20.0,55.636433,http://www.cian.ru/rent/flat/150941328/,,37.360888,10,,16,20000.0,20000.0,косметический,1,Ново-Переделкино,Юго-Западная,0,35.0,0
15007,1,0,895.001694984,7,3,21.0,55.638409,http://www.cian.ru/rent/flat/151542535/,8.6,37.342733,,,14,20000.0,20000.0,косметический,1,Ново-Переделкино,,0,41.0,
15008,1,0,866.922512231,7,12,20.0,55.642174,http://www.cian.ru/rent/flat/151538193/,10.0,37.369,5,,22,22000.0,22000.0,косметический,1,Ново-Переделкино,Румянцево,0,40.0,0
15009,0,0,409.094700626,7,1,20.0,55.702789,http://www.cian.ru/rent/flat/151640664/,,37.455462,3,,16,25000.0,25000.0,евроремонт,1,Очаково-Матвеевское,Кунцевская,0,38.0,0
15010,0,0,813.150912086,7,5,18.0,55.649368,http://www.cian.ru/rent/flat/151393143/,6.5,37.412783,10,1,9,25000.0,25000.0,косметический,1,Солнцево,Юго-Западная,0,32.0,0
15011,1,0,1072.14454166,7,5,20.0,55.614521,http://www.cian.ru/rent/flat/150996731/,10.0,37.255048,10,,19,25000.0,25000.0,косметический,1,Внуково,Юго-Западная,0,45.0,0
15012,1,0,326.855936432,7,14,28.0,55.713532,http://www.cian.ru/rent/flat/150890450/,,37.396829,10,1,19,25000.0,25000.0,косметический,2,Можайский,Славянский бульвар,0,55.0,0
15013,1,0,708.470703242,7,11,20.0,55.663314,http://www.cian.ru/rent/flat/151672294/,,37.46635,10,,14,26000.0,26000.0,евроремонт,1,Тропарёво-Никулино,Юго-Западная,0,43.0,1
