,Lat,Lon,District,Small_district,Rooms,Price,Price_duplicate,Totsp,Livesp,Kitsp,Dist,Stname,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,Link
1,55.536573,37.158982,10,,2,6800000,6800000.0,73.2,14.4,40.2,1637.45878963,Тропарево,15,0,,0,1,3,4,0,http://www.cian.ru/sale/flat/148936137/
2,55.823156,37.500881,1,,2,9600000,9600000.0,55.0,10.0,35.0,529.75279211,Войковская,5,1,,0,0,3,6,0,http://www.cian.ru/sale/flat/2462671/
3,55.87875,37.538587,1,,2,7529815,7529815.0,61.2,,,975.356337026,,,,,0,1,2,21,1,http://www.cian.ru/sale/flat/43992990/
4,55.739336,37.705275,4,Нижегородский,1,4150000,4150000.0,30.0,6.5,18.5,128.031139735,Авиамоторная,24,1,1,1,0,1,5,0,http://www.cian.ru/sale/flat/151019032/
5,55.670757,37.587712,6,Котловка,2,6000000,6000000.0,42.0,,31.0,652.367603605,Профсоюзная,5,0,0,0,1,5,5,0,http://www.cian.ru/sale/flat/151011793/
6,55.755824,37.802949,3,Перово,2,8900000,8900000.0,54.0,14.0,28.0,0.0544842599436,Перово,12,1,1,1,1,3,5,0,http://www.cian.ru/sale/flat/149607622/
7,55.49766,36.917628,10,,3,3720000,3720000.0,75.5,,74.0,1911.96555058,Тропарево,30,0,,0,1,3,3,1,http://www.cian.ru/sale/flat/150724229/
8,55.875935,37.646274,2,Южное Медведково,1,5500000,5500000.0,35.0,,21.0,952.62590194,Бабушкинская,19,1,0,0,1,7,9,0,http://www.cian.ru/sale/flat/151162089/
9,55.523648,37.510957,6,,2,6596088,6596088.0,72.7,,72.7,1729.22646435,Бунинская аллея,15,1,,0,0,17,17,1,http://www.cian.ru/sale/flat/150494770/
10,55.649277,37.497643,6,,2,9404884,9404884.0,67.7,18.0,20.5,813.832064225,Юго-Западная,7,0,,0,0,3,7,1,http://www.cian.ru/sale/flat/150967159/
11,55.551955,37.344485,9,,3,3291000,3291000.0,102.4,37.0,43.0,1527.49773574,Саларьево,20,0,,0,0,5,5,1,http://www.cian.ru/sale/flat/149173397/
12,55.701541,37.934175,4,,1,4950700,4950700.0,42.1,,,418.627414087,Выхино,11,0,,0,1,5,9,1,http://www.cian.ru/sale/flat/151235277/
13,55.800438,37.636706,2,,1,9073030,9073030.0,47.0,,30.0,349.739333825,Алексеевская,12,1,,0,1,3,6,1,http://www.cian.ru/sale/flat/150457960/
14,55.773525,37.629897,0,Мещанский,2,16500000,16500000.0,59.0,,39.0,138.125724347,Сухаревская,2,1,1,0,0,8,10,0,http://www.cian.ru/sale/flat/151522366/
15,55.523648,37.510957,6,,2,5220780,5220780.0,55.7,,55.7,1729.22646435,Бунинская аллея,15,1,,0,0,2,17,1,http://www.cian.ru/sale/flat/150494666/
16,55.748452,37.660952,0,Таганский,2,13500000,13500000.0,62.8,,38.4,57.3630734481,Таганская,12,1,1,0,0,5,6,0,http://www.cian.ru/sale/flat/151417568/
17,55.716428,37.634299,5,Даниловский,2,7200000,7200000.0,36.3,,20.0,304.632075519,Тульская,16,1,1,1,0,2,9,0,http://www.cian.ru/sale/flat/149949477/
18,55.702637,37.780473,4,Кузьминки,2,5050000,5050000.0,44.4,5.5,28.4,410.255969505,Кузьминки,12,1,0,1,0,1,5,0,http://www.cian.ru/sale/flat/150977786/
19,55.547056,37.545968,6,Южное Бутово,1,6100000,6100000.0,38.0,8.5,19.0,1562.60662623,Бульвар Адмирала Ушакова,3,1,0,1,1,8,16,0,http://www.cian.ru/sale/flat/140974082/
20,55.652303,37.409496,7,Солнцево,1,6290000,6290000.0,38.0,7.8,30.0,791.168585275,,,,0,1,1,6,17,0,http://www.cian.ru/sale/flat/151243655/
21,55.618995,37.664006,5,Царицыно,1,5450000,5450000.0,33.0,,18.0,1039.10178275,Царицыно,7,1,0,0,0,2,9,0,http://www.cian.ru/sale/flat/151357300/
22,55.661196,37.410774,7,,2,6371000,6371000.0,46.0,,29.1,724.405794121,Юго-Западная,10,0,,0,1,2,25,1,http://www.cian.ru/sale/flat/149216920/
23,55.810885,37.719001,3,Богородское,1,5350000,5350000.0,33.0,,18.0,432.364856219,Бульвар Рокоссовского,14,1,0,1,1,3,5,0,http://www.cian.ru/sale/flat/151449519/
24,55.633661,37.414421,7,,1,4049066,4049066.0,38.7,,,930.350574401,Саларьево,5,0,,0,1,23,25,1,http://www.cian.ru/sale/flat/151258901/
25,55.452921,37.282896,10,,1,2458000,2458000.0,42.2,,22.0,2220.81614684,Теплый Стан,20,1,,0,1,2,5,1,http://www.cian.ru/sale/flat/151390910/
26,55.592683,37.116483,9,,2,4289338,4289338.0,46.2,,,1232.52283433,,,,,0,0,4,7,1,http://www.cian.ru/sale/flat/148295648/
27,55.86107,37.373322,8,,1,4967865,4967865.0,40.6,,,832.885132782,Пятницкое шоссе,15,1,,0,1,15,25,1,http://www.cian.ru/sale/flat/151117735/
28,55.648167,37.704316,4,,1,4469151,4469151.0,37.0,,,822.138623565,Марьино,4,0,,0,1,7,32,1,http://www.cian.ru/sale/flat/151052015/
29,55.607829,37.579394,5,Чертаново Центральное,2,11500000,11500000.0,60.0,11.0,36.0,1121.45121817,Пражская,20,1,0,0,1,10,25,0,http://www.cian.ru/sale/flat/150639641/
30,55.576473,37.673742,5,,1,7458000,7458000.0,44.0,10.1,17.5,1350.57905959,,,,,0,1,28,45,1,http://www.cian.ru/sale/flat/149668369/
31,55.863283,37.512389,1,Головинский,1,5950000,5950000.0,36.0,10.0,21.0,850.680140958,Речной вокзал,5,0,1,0,1,14,16,0,http://www.cian.ru/sale/flat/47561562/
32,55.663372,37.515206,6,,2,18800000,18800000.0,71.1,14.6,35.2,708.034145492,Калужская,10,0,,0,1,4,12,1,http://www.cian.ru/sale/flat/150998528/
33,55.71301,37.778793,4,Рязанский,3,6100000,6100000.0,54.0,,36.0,330.859297604,Рязанский проспект,10,1,0,0,1,1,9,0,http://www.cian.ru/sale/flat/151470850/
